,Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
1533,South Hills Water Company,Fluoride,0.720 ppm,,4 ppm
1534,South Hills Water Company,Monobromoacetic acid,0.0250 ppb,25 ppb,
1535,South Hills Water Company,Monochloroacetic acid,0.175 ppb,53 ppb,
1536,South Hills Water Company,None,,,
1537,Star Satellite Improvement District,Barium,55.5 ppb,700 ppb,"2,000 ppb"
1538,Star Satellite Improvement District,Fluoride,0.0940 ppm,,4 ppm
1539,Star Satellite Improvement District,None,,,
1540,Timber Water Association,Haloacetic acids (HAA5)†,23.1 ppb,0.1 ppb,60 ppb
1541,Timber Water Association,Total trihalomethanes (TTHMs)†,25.4 ppb,0.15 ppb,80 ppb
1542,Timber Water Association,Barium,0.600 ppb,700 ppb,"2,000 ppb"
1543,Timber Water Association,Nitrate,0.148 ppm,0.14 ppm,10 ppm
1544,Timber Water Association,None,,,
1545,Tualatin Valley Water District,Chromium (hexavalent),0.153 ppb,0.02 ppb,
1546,Tualatin Valley Water District,Haloacetic acids (HAA5)†,25.6 ppb,0.1 ppb,60 ppb
1547,Tualatin Valley Water District,Haloacetic acids (HAA9)†,24.4 ppb,0.06 ppb,
1548,Tualatin Valley Water District,Nitrate,0.522 ppm,0.14 ppm,10 ppm
1549,Tualatin Valley Water District,Nitrate and nitrite,0.467 ppm,0.14 ppm,10 ppm
1550,Tualatin Valley Water District,Radon,440.00 pCi/L,1.5 pCi/L,
1551,Tualatin Valley Water District,Total trihalomethanes (TTHMs)†,31.9 ppb,0.15 ppb,80 ppb
1552,Tualatin Valley Water District,Barium,3.05 ppb,700 ppb,"2,000 ppb"
1553,Tualatin Valley Water District,Chlorate,18.8 ppb,210 ppb,
1554,Tualatin Valley Water District,Chromium (total),0.260 ppb,,100 ppb
1555,Tualatin Valley Water District,Fluoride,0.508 ppm,,4 ppm
1556,Tualatin Valley Water District,Manganese,4.65 ppb,100 ppb,
1557,Tualatin Valley Water District,Strontium,0.0362 ppb,"1,500 ppb",
1558,Tualatin Valley Water District,Uranium,0.01 pCi/L,0.43 pCi/L,20 pCi/L
1559,Tualatin Valley Water District,Vanadium,3.17 ppb,21 ppb,
1560,Tualatin Valley Water District,None,,,
1561,West Laurel Acres Water Company,Haloacetic acids (HAA5)†,0.600 ppb,0.1 ppb,60 ppb
1562,West Laurel Acres Water Company,Nitrate,0.460 ppm,0.14 ppm,10 ppm
1563,West Laurel Acres Water Company,Nitrate and nitrite,0.613 ppm,0.14 ppm,10 ppm
1564,West Laurel Acres Water Company,Barium,7.17 ppb,700 ppb,"2,000 ppb"
1565,West Laurel Acres Water Company,None,,,
1566,West Slope Water District,Arsenic*,0.420 ppb,0.004 ppb,10 ppb
1567,West Slope Water District,Chromium (hexavalent),0.0521 ppb,0.02 ppb,
1568,West Slope Water District,Haloacetic acids (HAA5)†,28.3 ppb,0.1 ppb,60 ppb
1569,West Slope Water District,Haloacetic acids (HAA9)†,30.9 ppb,0.06 ppb,
1570,West Slope Water District,Total trihalomethanes (TTHMs)†,31.4 ppb,0.15 ppb,80 ppb
1571,West Slope Water District,Barium*,5.23 ppb,700 ppb,"2,000 ppb"
1572,West Slope Water District,Chlorate,26.9 ppb,210 ppb,
1573,West Slope Water District,Chromium (total),0.140 ppb,,100 ppb
1574,West Slope Water District,Fluoride*,0.0767 ppm,,4 ppm
1575,West Slope Water District,Manganese,4.43 ppb,100 ppb,
1576,West Slope Water District,Nitrate*,0.111 ppm,0.14 ppm,10 ppm
1577,West Slope Water District,Nitrate and nitrite*,0.111 ppm,0.14 ppm,10 ppm
1578,West Slope Water District,Quinoline,0.00750 ppb,,
1579,West Slope Water District,Strontium,0.0199 ppb,"1,500 ppb",
1580,West Slope Water District,Vanadium,2.32 ppb,21 ppb,
1581,West Slope Water District,None,,,
1582,Westview Mobile Estates,Barium,1.89 ppb,700 ppb,"2,000 ppb"
1583,Westview Mobile Estates,Fluoride,0.254 ppm,,4 ppm
1584,Westview Mobile Estates,Nitrate,0.223 ppm,0.14 ppm,10 ppm
1585,Westview Mobile Estates,None,,,
1586,Wolsborn Farms Water District,Nitrate,2.48 ppm,0.14 ppm,10 ppm
1587,Wolsborn Farms Water District,Nitrate and nitrite,2.32 ppm,0.14 ppm,10 ppm
1588,Wolsborn Farms Water District,Barium,19.5 ppb,700 ppb,"2,000 ppb"
1589,Wolsborn Farms Water District,Ethylbenzene,1.23 ppb,300 ppb,700 ppb
1590,Wolsborn Farms Water District,Xylenes (total),5.41 ppb,"1,800 ppb","10,000 ppb"
1591,Wolsborn Farms Water District,None,,,
1592,Black Canyon City Water Improvement District,Arsenic,3.65 ppb,0.004 ppb,10 ppb
1593,Black Canyon City Water Improvement District,Cadmium,0.467 ppb,0.04 ppb,5 ppb
1594,Black Canyon City Water Improvement District,Haloacetic acids (HAA5)†,4.16 ppb,0.1 ppb,60 ppb
1595,Black Canyon City Water Improvement District,Nitrate,1.61 ppm,0.14 ppm,10 ppm
1596,Black Canyon City Water Improvement District,Total trihalomethanes (TTHMs)†,18.8 ppb,0.15 ppb,80 ppb
1597,Black Canyon City Water Improvement District,Barium,26.0 ppb,700 ppb,"2,000 ppb"
1598,Black Canyon City Water Improvement District,Fluoride,0.547 ppm,,4 ppm
1599,Black Canyon City Water Improvement District,None,,,
1600,"Dayville, City of",Arsenic,1.17 ppb,0.004 ppb,10 ppb
1601,"Dayville, City of",Haloacetic acids (HAA5)†,1.85 ppb,0.1 ppb,60 ppb
1602,"Dayville, City of",Nitrate,0.825 ppm,0.14 ppm,10 ppm
1603,"Dayville, City of",Nitrate and nitrite,0.898 ppm,0.14 ppm,10 ppm
1604,"Dayville, City of","Radium, combined (-226 &amp; -228)",2.90 pCi/L,0.05 pCi/L,5 pCi/L
1605,"Dayville, City of",Total trihalomethanes (TTHMs)†,5.96 ppb,0.15 ppb,80 ppb
1606,"Dayville, City of",Barium,2.62 ppb,700 ppb,"2,000 ppb"
1607,"Dayville, City of",Selenium,0.539 ppb,30 ppb,50 ppb
1608,"Dayville, City of",None,,,
1609,"John Day, City of",Arsenic,0.890 ppb,0.004 ppb,10 ppb
1610,"John Day, City of",Nitrate,0.481 ppm,0.14 ppm,10 ppm
1611,"John Day, City of",Nitrate and nitrite,0.392 ppm,0.14 ppm,10 ppm
1612,"John Day, City of",Total trihalomethanes (TTHMs)†,6.44 ppb,0.15 ppb,80 ppb
1613,"John Day, City of",Barium,39.9 ppb,700 ppb,"2,000 ppb"
1614,"John Day, City of",Chromium (total),4.80 ppb,,100 ppb
1615,"John Day, City of",None,,,
1616,"Long Creek, City Of",Arsenic,1.15 ppb,0.004 ppb,10 ppb
1617,"Long Creek, City Of",Nitrate,0.962 ppm,0.14 ppm,10 ppm
1618,"Long Creek, City Of",Nitrate and nitrite,0.434 ppm,0.14 ppm,10 ppm
1619,"Long Creek, City Of",Barium,1.12 ppb,700 ppb,"2,000 ppb"
1620,"Long Creek, City Of",Chromium (total),1.64 ppb,,100 ppb
1621,"Long Creek, City Of",None,,,
1622,"Monument, City of",Arsenic,1.09 ppb,0.004 ppb,10 ppb
1623,"Monument, City of",Haloacetic acids (HAA5)†,17.9 ppb,0.1 ppb,60 ppb
1624,"Monument, City of",Nitrate,0.402 ppm,0.14 ppm,10 ppm
1625,"Monument, City of",Nitrate and nitrite,0.373 ppm,0.14 ppm,10 ppm
1626,"Monument, City of",Total trihalomethanes (TTHMs)†,26.8 ppb,0.15 ppb,80 ppb
1627,"Monument, City of",Barium,1.91 ppb,700 ppb,"2,000 ppb"
1628,"Monument, City of",None,,,
1629,"Mount Vernon, City of",Total trihalomethanes (TTHMs)†,1.17 ppb,0.15 ppb,80 ppb
1630,"Mount Vernon, City of",Nitrate,0.236 ppm,0.14 ppm,10 ppm
1631,"Mount Vernon, City of",None,,,
1632,Prairie City,Arsenic,0.259 ppb,0.004 ppb,10 ppb
1633,Prairie City,Bromodichloromethane,5.40 ppb,0.06 ppb,
1634,Prairie City,Bromoform,3.52 ppb,0.5 ppb,
1635,Prairie City,Chloroform,3.01 ppb,0.4 ppb,
1636,Prairie City,Dibromoacetic acid,1.25 ppb,0.04 ppb,
1637,Prairie City,Dibromochloromethane,7.98 ppb,0.1 ppb,
1638,Prairie City,Dichloroacetic acid,0.800 ppb,0.2 ppb,
1639,Prairie City,Haloacetic acids (HAA5)†,2.05 ppb,0.1 ppb,60 ppb
1640,Prairie City,"Radium, combined (-226 &amp; -228)",1.90 pCi/L,0.05 pCi/L,5 pCi/L
1641,Prairie City,Total trihalomethanes (TTHMs)†,19.9 ppb,0.15 ppb,80 ppb
1642,Prairie City,Barium,121.0 ppb,700 ppb,"2,000 ppb"
1643,Prairie City,Fluoride,0.807 ppm,,4 ppm
1644,Prairie City,Manganese,14.2 ppb,100 ppb,
1645,Prairie City,Nitrate,0.145 ppm,0.14 ppm,10 ppm
1646,Prairie City,Nitrate and nitrite,0.147 ppm,0.14 ppm,10 ppm
1647,Prairie City,Nitrite,0.00200 ppm,,1 ppm
1648,Prairie City,None,,,
1649,Sagedale Apartments,Arsenic,5.00 ppb,0.004 ppb,10 ppb
1650,Sagedale Apartments,Bromochloroacetic acid,0.750 ppb,0.02 ppb,
1651,Sagedale Apartments,Bromodichloromethane,0.460 ppb,0.06 ppb,
1652,Sagedale Apartments,Dibromochloromethane,0.260 ppb,0.1 ppb,
1653,Sagedale Apartments,Dichloroacetic acid,0.700 ppb,0.2 ppb,
1654,Sagedale Apartments,Haloacetic acids (HAA5)†,0.700 ppb,0.1 ppb,60 ppb
1655,Sagedale Apartments,Nitrate,7.70 ppm,0.14 ppm,10 ppm
1656,Sagedale Apartments,Nitrate and nitrite,6.50 ppm,0.14 ppm,10 ppm
1657,Sagedale Apartments,Total trihalomethanes (TTHMs)†,1.20 ppb,0.15 ppb,80 ppb
1658,Sagedale Apartments,Atrazine,0.0233 ppb,0.1 ppb,3 ppb
1659,Sagedale Apartments,Bromacil,0.233 ppb,,
1660,Sagedale Apartments,Chloroform,0.480 ppb,0.4 ppb,
1661,Sagedale Apartments,Chromium (total),1.000 ppb,,100 ppb
1662,Sagedale Apartments,Fluoride,0.210 ppm,,4 ppm
1663,Sagedale Apartments,Uranium,0.00 pCi/L,0.43 pCi/L,20 pCi/L
1664,Sagedale Apartments,None,,,
1665,"Seneca, City of",Arsenic,1.55 ppb,0.004 ppb,10 ppb
1666,"Seneca, City of",Bromodichloromethane,1.19 ppb,0.06 ppb,
1667,"Seneca, City of",Chloroform,1.36 ppb,0.4 ppb,
1668,"Seneca, City of",Dibromoacetic acid,0.902 ppb,0.04 ppb,
1669,"Seneca, City of",Dibromochloromethane,1.81 ppb,0.1 ppb,
1670,"Seneca, City of",Dichloroacetic acid,0.455 ppb,0.2 ppb,
1671,"Seneca, City of",Haloacetic acids (HAA5)†,1.000 ppb,0.1 ppb,60 ppb
1672,"Seneca, City of",Nitrate,3.29 ppm,0.14 ppm,10 ppm
1673,"Seneca, City of","Radium, combined (-226 &amp; -228)",0.90 pCi/L,0.05 pCi/L,5 pCi/L
1674,"Seneca, City of",Total trihalomethanes (TTHMs)†,5.18 ppb,0.15 ppb,80 ppb
1675,"Seneca, City of",Barium,170.0 ppb,700 ppb,"2,000 ppb"
1676,"Seneca, City of",Bromoform,0.810 ppb,0.5 ppb,
1677,"Seneca, City of",Chromium (total),1.40 ppb,,100 ppb
1678,"Seneca, City of",Fluoride,0.472 ppm,,4 ppm
1679,"Seneca, City of",Manganese,90.0 ppb,100 ppb,
1680,"Seneca, City of",Monobromoacetic acid,0.148 ppb,25 ppb,
1681,"Seneca, City of",Selenium,9.30 ppb,30 ppb,50 ppb
1682,"Seneca, City of",Trichloroacetic acid,0.183 ppb,0.1 ppb,
1683,"Seneca, City of",None,,,
1684,"Tillamook Water Department, City of",Haloacetic acids (HAA5)†,1.04 ppb,0.1 ppb,60 ppb
1685,"Tillamook Water Department, City of",Nitrate,1.40 ppm,0.14 ppm,10 ppm
1686,"Tillamook Water Department, City of",Nitrate and nitrite,1.65 ppm,0.14 ppm,10 ppm
1687,"Tillamook Water Department, City of",Total trihalomethanes (TTHMs)†,4.91 ppb,0.15 ppb,80 ppb
1688,"Tillamook Water Department, City of",None,,,
1689,Manzanita Water Department,Nitrate*,0.749 ppm,0.14 ppm,10 ppm
1690,Manzanita Water Department,Total trihalomethanes (TTHMs)†,1.22 ppb,0.15 ppb,80 ppb
1691,Manzanita Water Department,Barium*,2.18 ppb,700 ppb,"2,000 ppb"
1692,Manzanita Water Department,Haloacetic acids (HAA5)†,0.200 ppb,0.1 ppb,60 ppb
1693,Manzanita Water Department,None,,,
1694,Rockaway Beach PWS,Barium,14.4 ppb,700 ppb,"2,000 ppb"
1695,Rockaway Beach PWS,Chloroform,0.0688 ppb,0.4 ppb,
1696,Rockaway Beach PWS,Chromium (total),1.74 ppb,,100 ppb
1697,Rockaway Beach PWS,Nitrate and nitrite,0.163 ppm,0.14 ppm,10 ppm
1698,Rockaway Beach PWS,Xylenes (total),0.260 ppb,"1,800 ppb","10,000 ppb"
1699,Rockaway Beach PWS,None,,,
1700,Netarts Water District,Haloacetic acids (HAA5)†,9.61 ppb,0.1 ppb,60 ppb
1701,Netarts Water District,Nitrate,0.470 ppm,0.14 ppm,10 ppm
1702,Netarts Water District,Nitrate and nitrite,0.656 ppm,0.14 ppm,10 ppm
1703,Netarts Water District,Total trihalomethanes (TTHMs)†,27.3 ppb,0.15 ppb,80 ppb
1704,Netarts Water District,Barium,9.30 ppb,700 ppb,"2,000 ppb"
1705,Netarts Water District,Fluoride,0.110 ppm,,4 ppm
1706,Netarts Water District,None,,,
1707,"Nehalem, City of",Haloacetic acids (HAA5)†,41.0 ppb,0.1 ppb,60 ppb
1708,"Nehalem, City of",Nitrate,0.816 ppm,0.14 ppm,10 ppm
1709,"Nehalem, City of",Nitrate and nitrite,1.30 ppm,0.14 ppm,10 ppm
1710,"Nehalem, City of",Total trihalomethanes (TTHMs)†,55.8 ppb,0.15 ppb,80 ppb
1711,"Nehalem, City of",Barium,4.55 ppb,700 ppb,"2,000 ppb"
1712,"Nehalem, City of",None,,,
1713,Bley-was Heights Water System,Nitrate,0.212 ppm,0.14 ppm,10 ppm
1714,Bley-was Heights Water System,None,,,
1715,Bly Water District,Nitrate,0.314 ppm,0.14 ppm,10 ppm
1716,Bly Water District,Nitrate and nitrite,0.481 ppm,0.14 ppm,10 ppm
1717,Bly Water District,Barium,3.53 ppb,700 ppb,"2,000 ppb"
1718,Bly Water District,Chromium (total),1.28 ppb,,100 ppb
1719,Bly Water District,Total trihalomethanes (TTHMs)†,0.279 ppb,0.15 ppb,80 ppb
1720,Bly Water District,None,,,
1721,Chiloquin Municipal Water Department,Arsenic,2.16 ppb,0.004 ppb,10 ppb
1722,Chiloquin Municipal Water Department,Nitrate,0.0492 ppm,0.14 ppm,10 ppm
1723,Chiloquin Municipal Water Department,None,,,
1724,Collier Lane Homeowners Association,Arsenic,4.56 ppb,0.004 ppb,10 ppb
1725,Collier Lane Homeowners Association,"Radium, combined (-226 &amp; -228)",2.30 pCi/L,0.05 pCi/L,5 pCi/L
1726,Collier Lane Homeowners Association,Nitrate,0.129 ppm,0.14 ppm,10 ppm
1727,Collier Lane Homeowners Association,Nitrate and nitrite,0.236 ppm,0.14 ppm,10 ppm
1728,Collier Lane Homeowners Association,Selenium,0.276 ppb,30 ppb,50 ppb
1729,Collier Lane Homeowners Association,None,,,
1730,Crescent Water Association,Bromochloroacetic acid,1.21 ppb,0.02 ppb,
1731,Crescent Water Association,Bromodichloromethane,3.14 ppb,0.06 ppb,
1732,Crescent Water Association,Chloroform,17.6 ppb,0.4 ppb,
1733,Crescent Water Association,Dibromochloromethane,0.427 ppb,0.1 ppb,
1734,Crescent Water Association,Dichloroacetic acid,8.06 ppb,0.2 ppb,
1735,Crescent Water Association,Haloacetic acids (HAA5)†,15.6 ppb,0.1 ppb,60 ppb
1736,Crescent Water Association,Total trihalomethanes (TTHMs)†,21.1 ppb,0.15 ppb,80 ppb
1737,Crescent Water Association,Trichloroacetic acid,7.53 ppb,0.1 ppb,
1738,Crescent Water Association,None,,,
1739,Country Crossroads Mobile Home Park,Bromoform,2.19 ppb,0.5 ppb,
1740,Country Crossroads Mobile Home Park,Dibromoacetic acid,2.37 ppb,0.04 ppb,
1741,Country Crossroads Mobile Home Park,Haloacetic acids (HAA5)†,2.37 ppb,0.1 ppb,60 ppb
1742,Country Crossroads Mobile Home Park,Total trihalomethanes (TTHMs)†,1.37 ppb,0.15 ppb,80 ppb
1743,Country Crossroads Mobile Home Park,Barium,467.0 ppb,700 ppb,"2,000 ppb"
1744,Country Crossroads Mobile Home Park,Cyanide,60.0 ppb,,200 ppb
1745,Country Crossroads Mobile Home Park,Dibromochloromethane,0.144 ppb,0.1 ppb,
1746,Country Crossroads Mobile Home Park,Fluoride,0.590 ppm,,4 ppm
1747,Country Crossroads Mobile Home Park,Manganese,105.4 ppb,100 ppb,
1748,Country Crossroads Mobile Home Park,Nitrate,0.0220 ppm,0.14 ppm,10 ppm
1749,Country Crossroads Mobile Home Park,None,,,
1750,Falcon Heights,Nitrate,0.312 ppm,0.14 ppm,10 ppm
1751,Falcon Heights,Nitrate and nitrite,0.563 ppm,0.14 ppm,10 ppm
1752,Falcon Heights,Barium,0.682 ppb,700 ppb,"2,000 ppb"
1753,Falcon Heights,Nitrite,0.157 ppm,,1 ppm
1754,Falcon Heights,Total trihalomethanes (TTHMs)†,0.156 ppb,0.15 ppb,80 ppb
1755,Falcon Heights,None,,,
1756,Gilchrist Water System LLC,Barium,1.000 ppb,700 ppb,"2,000 ppb"
1757,Gilchrist Water System LLC,Di(2-ethylhexyl) phthalate,0.375 ppb,3 ppb,6 ppb
1758,Gilchrist Water System LLC,Nitrate,0.0442 ppm,0.14 ppm,10 ppm
1759,Gilchrist Water System LLC,None,,,
1760,Keno Water Co. Inc.,Arsenic,0.585 ppb,0.004 ppb,10 ppb
1761,Keno Water Co. Inc.,"Radium, combined (-226 &amp; -228)",0.23 pCi/L,0.05 pCi/L,5 pCi/L
1762,Keno Water Co. Inc.,Total trihalomethanes (TTHMs)†,2.89 ppb,0.15 ppb,80 ppb
1763,Keno Water Co. Inc.,Barium,5.26 ppb,700 ppb,"2,000 ppb"
1764,Keno Water Co. Inc.,Nitrate,0.184 ppm,0.14 ppm,10 ppm
1765,Keno Water Co. Inc.,None,,,
1766,Klamath Falls Water Department,Arsenic,6.23 ppb,0.004 ppb,10 ppb
1767,Klamath Falls Water Department,Chromium (hexavalent),0.170 ppb,0.02 ppb,
1768,Klamath Falls Water Department,Haloacetic acids (HAA5)†,0.450 ppb,0.1 ppb,60 ppb
1769,Klamath Falls Water Department,Nitrate and nitrite,0.378 ppm,0.14 ppm,10 ppm
1770,Klamath Falls Water Department,Total trihalomethanes (TTHMs)†,0.483 ppb,0.15 ppb,80 ppb
1771,Klamath Falls Water Department,"1,4-Dioxane",0.00614 ppb,0.35 ppb,
1772,Klamath Falls Water Department,Barium,1.52 ppb,700 ppb,"2,000 ppb"
1773,Klamath Falls Water Department,Chromium (total),0.120 ppb,,100 ppb
1774,Klamath Falls Water Department,Germanium,0.0679 ppb,,
1775,Klamath Falls Water Department,Haloacetic acids (HAA9)†,0.0875 ppb,0.06 ppb,
1776,Klamath Falls Water Department,Manganese,37.4 ppb,100 ppb,
1777,Klamath Falls Water Department,Molybdenum,1.51 ppb,40 ppb,
1778,Klamath Falls Water Department,Nitrate,0.250 ppm,0.14 ppm,10 ppm
1779,Klamath Falls Water Department,Strontium,0.0778 ppb,"1,500 ppb",
1780,Klamath Falls Water Department,Vanadium,9.36 ppb,21 ppb,
1781,Klamath Falls Water Department,None,,,
1782,Iacl Lakeside Mobile Home Park Llc,Bromodichloromethane*,11.6 ppb,0.06 ppb,
1783,Iacl Lakeside Mobile Home Park Llc,Chloroform*,34.7 ppb,0.4 ppb,
1784,Iacl Lakeside Mobile Home Park Llc,Dibromoacetic acid*,1.17 ppb,0.04 ppb,
1785,Iacl Lakeside Mobile Home Park Llc,Dibromochloromethane*,4.15 ppb,0.1 ppb,
1786,Iacl Lakeside Mobile Home Park Llc,Dichloroacetic acid*,20.9 ppb,0.2 ppb,
1787,Iacl Lakeside Mobile Home Park Llc,Haloacetic acids (HAA5)*†,27.5 ppb,0.1 ppb,60 ppb
1788,Iacl Lakeside Mobile Home Park Llc,Total trihalomethanes (TTHMs)*†,50.7 ppb,0.15 ppb,80 ppb
1789,Iacl Lakeside Mobile Home Park Llc,Trichloroacetic acid*,4.43 ppb,0.1 ppb,
1790,Iacl Lakeside Mobile Home Park Llc,Bromoform*,0.0978 ppb,0.5 ppb,
1791,Iacl Lakeside Mobile Home Park Llc,Monochloroacetic acid*,0.913 ppb,53 ppb,
1792,Iacl Lakeside Mobile Home Park Llc,p-Dichlorobenzene*,0.800 ppb,6 ppb,75 ppb
1793,Malin Municipal Water,Arsenic,9.26 ppb,0.004 ppb,10 ppb
1794,Malin Municipal Water,Nitrate and nitrite,0.438 ppm,0.14 ppm,10 ppm
1795,Malin Municipal Water,Barium,2.58 ppb,700 ppb,"2,000 ppb"
1796,Malin Municipal Water,Nitrate,0.270 ppm,0.14 ppm,10 ppm
1797,Malin Municipal Water,Uranium,0.47 pCi/L,0.43 pCi/L,20 pCi/L
1798,Malin Municipal Water,None,,,
1799,Merrill Water Department,"Radium, combined (-226 &amp; -228)",0.14 pCi/L,0.05 pCi/L,5 pCi/L
1800,Merrill Water Department,Nitrate,0.265 ppm,0.14 ppm,10 ppm
1801,Merrill Water Department,None,,,
1802,Nps Annie Springs,Total trihalomethanes (TTHMs)†,5.64 ppb,0.15 ppb,80 ppb
1803,Nps Annie Springs,Barium,6.40 ppb,700 ppb,"2,000 ppb"
1804,Nps Annie Springs,Xylenes (total),0.528 ppb,"1,800 ppb","10,000 ppb"
1805,Nps Annie Springs,None,,,
1806,Oregon Shores Beach Club Inc.,Fluoride,0.0640 ppm,,4 ppm
1807,Oregon Shores Beach Club Inc.,Nitrate,0.0442 ppm,0.14 ppm,10 ppm
1808,Oregon Shores Beach Club Inc.,None,,,
1809,Oregon Shores Recreation Club,Barium,5.84 ppb,700 ppb,"2,000 ppb"
1810,Oregon Shores Recreation Club,Cyanide,15.2 ppb,,200 ppb
1811,Oregon Shores Recreation Club,Nitrate,0.214 ppm,0.14 ppm,10 ppm
1812,Oregon Shores Recreation Club,None,,,
1813,Dumas-pine Grove Water Association,Chloroform,2.12 ppb,0.4 ppb,
1814,Dumas-pine Grove Water Association,Dichloroacetic acid,1.000 ppb,0.2 ppb,
1815,Dumas-pine Grove Water Association,Haloacetic acids (HAA5)†,1.000 ppb,0.1 ppb,60 ppb
1816,Dumas-pine Grove Water Association,Total trihalomethanes (TTHMs)†,2.12 ppb,0.15 ppb,80 ppb
1817,Dumas-pine Grove Water Association,Barium,103.2 ppb,700 ppb,"2,000 ppb"
1818,Dumas-pine Grove Water Association,Chromium (total),0.433 ppb,,100 ppb
1819,Dumas-pine Grove Water Association,Fluoride,0.149 ppm,,4 ppm
1820,Dumas-pine Grove Water Association,None,,,
1821,Pinecrest Water Company,Nitrate,0.420 ppm,0.14 ppm,10 ppm
1822,Pinecrest Water Company,None,,,
1823,Pristine Water Source LLC,Arsenic,1.06 ppb,0.004 ppb,10 ppb
1824,Pristine Water Source LLC,None,,,
1825,Round Lake Water Utilities,Arsenic,1.72 ppb,0.004 ppb,10 ppb
1826,Round Lake Water Utilities,Total trihalomethanes (TTHMs)†,0.724 ppb,0.15 ppb,80 ppb
1827,Round Lake Water Utilities,Barium,3.87 ppb,700 ppb,"2,000 ppb"
1828,Round Lake Water Utilities,Chromium (total),1.58 ppb,,100 ppb
1829,Round Lake Water Utilities,Fluoride,1.32 ppm,,4 ppm
1830,Round Lake Water Utilities,Nitrate,0.0733 ppm,0.14 ppm,10 ppm
1831,Round Lake Water Utilities,Uranium,0.13 pCi/L,0.43 pCi/L,20 pCi/L
1832,Round Lake Water Utilities,None,,,
1833,Oregon Water Utilities - Mountain Lakes,Arsenic,1.40 ppb,0.004 ppb,10 ppb
1834,Oregon Water Utilities - Mountain Lakes,Nitrate,0.602 ppm,0.14 ppm,10 ppm
1835,Oregon Water Utilities - Mountain Lakes,Nitrate and nitrite,2.05 ppm,0.14 ppm,10 ppm
1836,Oregon Water Utilities - Mountain Lakes,Barium,7.30 ppb,700 ppb,"2,000 ppb"
1837,Oregon Water Utilities - Mountain Lakes,None,,,
1838,Shield Crest Condos,Nitrate,0.0835 ppm,0.14 ppm,10 ppm
1839,Shield Crest Condos,None,,,
1840,Shield Crest Water Association,Arsenic,1.68 ppb,0.004 ppb,10 ppb
1841,Shield Crest Water Association,Nitrate and nitrite,0.552 ppm,0.14 ppm,10 ppm
1842,Shield Crest Water Association,"Radium, combined (-226 &amp; -228)",0.15 pCi/L,0.05 pCi/L,5 pCi/L
1843,Shield Crest Water Association,Barium,0.708 ppb,700 ppb,"2,000 ppb"
1844,Shield Crest Water Association,Chromium (total),1.48 ppb,,100 ppb
1845,Shield Crest Water Association,Nitrate,0.270 ppm,0.14 ppm,10 ppm
1846,Shield Crest Water Association,Selenium,0.660 ppb,30 ppb,50 ppb
1847,Shield Crest Water Association,None,,,
1848,Skyline View District Improvement,Total trihalomethanes (TTHMs)†,0.735 ppb,0.15 ppb,80 ppb
1849,Skyline View District Improvement,Nitrate,0.250 ppm,0.14 ppm,10 ppm
1850,Skyline View District Improvement,None,,,
1851,Sportsmans Paradise,"1,2,3-Trichloropropane",0.00460 ppb,0.0007 ppb,
1852,Sportsmans Paradise,Arsenic,4.70 ppb,0.004 ppb,10 ppb
1853,Sportsmans Paradise,Bromodichloromethane,0.192 ppb,0.06 ppb,
1854,Sportsmans Paradise,Chloroform,5.00 ppb,0.4 ppb,
1855,Sportsmans Paradise,Manganese,736.7 ppb,100 ppb,
1856,Sportsmans Paradise,"Radium, combined (-226 &amp; -228)",2.96 pCi/L,0.05 pCi/L,5 pCi/L
1857,Sportsmans Paradise,Barium,52.0 ppb,700 ppb,"2,000 ppb"
1858,Sportsmans Paradise,Fluoride,0.260 ppm,,4 ppm
1859,Sportsmans Paradise,None,,,
1860,Sprague River Water Association,Nitrate,0.176 ppm,0.14 ppm,10 ppm
1861,Sprague River Water Association,None,,,
1862,City of Milwaukie,Chromium (hexavalent),1.09 ppb,0.02 ppb,
1863,City of Milwaukie,Haloacetic acids (HAA5)†,0.233 ppb,0.1 ppb,60 ppb
1864,City of Milwaukie,Haloacetic acids (HAA9)†,2.73 ppb,0.06 ppb,
1865,City of Milwaukie,Nitrate,2.20 ppm,0.14 ppm,10 ppm
1866,City of Milwaukie,Nitrate and nitrite,2.00 ppm,0.14 ppm,10 ppm
1867,City of Milwaukie,Total trihalomethanes (TTHMs)†,5.03 ppb,0.15 ppb,80 ppb
1868,City of Milwaukie,"1,4-Dioxane",0.0351 ppb,0.35 ppb,
1869,City of Milwaukie,Barium,3.94 ppb,700 ppb,"2,000 ppb"
1870,City of Milwaukie,Chromium (total),0.827 ppb,,100 ppb
1871,City of Milwaukie,Fluoride,0.0438 ppm,,4 ppm
1872,City of Milwaukie,Manganese,0.867 ppb,100 ppb,
1873,City of Milwaukie,Strontium,0.0931 ppb,"1,500 ppb",
1874,City of Milwaukie,Vanadium,9.38 ppb,21 ppb,
1875,City of Milwaukie,None,,,
1876,City of Wilsonville,Bromate,1.29 ppb,0.1 ppb,10 ppb
1877,City of Wilsonville,Chromium (hexavalent),0.0580 ppb,0.02 ppb,
1878,City of Wilsonville,Haloacetic acids (HAA5)†,5.02 ppb,0.1 ppb,60 ppb
1879,City of Wilsonville,Haloacetic acids (HAA9)†,8.21 ppb,0.06 ppb,
