,Utility name,City,People served,Zip
10,North Bayside Estates-south,North Bend,Population served: 40,97459
11,"Powers, City of",Powers,Population served: 700,97459
12,Rink Creek Water District,Coquille,Population served: 286,97459
13,Sand-n-wood Mobile Villa,North Bend,Population served: 65,97459
14,Shelley Road-crest Acres Water District,Coquille,Population served: 430,97459
15,Weiss Estates Water System,Bandon,Population served: 36,97459
16,,,Population served: 0,97459
0,Portland Water Bureau,"Portland, OR","Population served:614,059",97133
1,Joint Water Commission,"Hillsboro, OR","Population served:397,769",97133
2,Tualatin Valley Water District,"Beaverton, OR","Population served:222,000",97133
3,City of Hillsboro,"Hillsboro, OR","Population served:88,243",97133
4,City of Beaverton,"Beaverton, OR","Population served:70,000",97133
5,Cty of Gresham,"Gresham, OR","Population served:73,932",97133
6,Rockwood People's Utilities Department,"Portland, OR","Population served:61,082",97133
7,City of Tigard,"Tigard, OR","Population served:60,236",97133
8,City of Tualatin,"Tualatin, OR","Population served:26,879",97133
9,City of Forest Grove,"Forest Grove, OR","Population served:23,080",97133
0,Baker City,Baker City,"Population served: 9,890",97867
1,City of La Grande,La Grande,"Population served: 13,245",97867
2,"Cove, City of",Cove,Population served: 550,97867
3,Elgin Water Department,Elgin,"Population served: 1,725",97867
4,Flying K Trailer Ranch,La Grande,Population served: 96,97867
5,"Haines, City of",Haines,Population served: 415,97867
6,"Halfway, City of",Halfway,Population served: 290,97867
7,"Huntington, City of",Huntington,Population served: 445,97867
8,Idaho Power-oxbow Village,Oxbow,Population served: 75,97867
9,"Imbler, City of",Imbler,Population served: 305,97867
10,Island City,Island City,"Population served: 1,115",97867
11,"North Powder, City Of",North Powder,Population served: 445,97867
12,"Richland, City of",Richland,Population served: 245,97867
13,"Sumpter, City of",Sumpter,Population served: 205,97867
14,Sundowner Mobile Home Park,La Grande,Population served: 160,97867
15,"Union, City of",Union,"Population served: 2,150",97867
16,"Unity, City of",Unity,Population served: 71,97867
17,Western Heights Water Company,Baker City,Population served: 70,97867
0,Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97461
1,Springfield Utility Board,"Springfield, OR","Population served:59,500",97461
2,"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97461
3,"Florence, City of","Florence, OR","Population served:8,850",97461
4,Rainbow Water District,"Springfield, OR","Population served:6,300",97461
5,Junction City Water Utilities,"Junction City, OR","Population served:3,011",97461
6,"Creswell, City of","Creswell, OR","Population served:5,075",97461
7,"Veneta, City of","Veneta, OR","Population served:4,755",97461
8,Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97461
9,"Oakridge, City of","Oakridge, OR","Population served:3,225",97461
0,"Adrian, City of",Adrian,Population served: 180,97913
1,City of Ontario,Ontario,"Population served: 14,465",97913
2,Fischers Place Mobile Home Park,Scappoose,Population served: 125,97913
3,"Jordan Valley, City of",Jordan Valley,Population served: 175,97913
4,"Nyssa, City of",Nyssa,"Population served: 3,285",97913
5,River Village Mobile Home Park,Ontario,Population served: 40,97913
6,"Vale, City of",Vale,"Population served: 1,950",97913
0,City of Grants Pass,"Grants Pass, OR","Population served:37,088",97534
1,"Cave Junction, City of","Cave Junction, OR","Population served:1,935",97534
2,Rogue Lea Estates-north/south,"Grants Pass, OR",Population served:350,97534
3,Willow Estates Mobile Home Park,"Grants Pass, OR",Population served:250,97534
4,Redwood Mobile Estates LLC,"Grants Pass, OR",Population served:250,97534
0,"Canyonville, City of",Canyonville,"Population served: 1,975",97462
1,City of Roseburg,Roseburg,"Population served: 28,800",97462
2,Clarks Branch Water Association,Myrtle Creek,Population served: 140,97462
3,Diamond Lake Lodge/resort,Diamond Lake,Population served: 90,97462
4,"Drain, City of",Drain,"Population served: 1,151",97462
5,"Elkton, City of",Elkton,Population served: 200,97462
6,Fortune Branch Mobile Village,Myrtle Creek,Population served: 80,97462
7,"Glendale, City of",Cave Junction,Population served: 980,97462
8,Glide Water Association,Glide,"Population served: 1,200",97462
9,Lawson Acres Water Association,Riddle,Population served: 75,97462
10,Milo Academy,Days Creek,Population served: 150,97462
11,"Myrtle Creek, City of",Myrtle Creek,"Population served: 3,490",97462
12,"Oakland, City of",Oakland,Population served: 954,97462
13,Porter Creek Mobile Home Park,Tenmile,Population served: 35,97462
14,Pp&l-toketee Village,Idleyld Park,Population served: 50,97462
15,"Reedsport, City of",Reedsport,"Population served: 4,784",97462
16,Rice Hill West Subdivision,Oakland,Population served: 36,97462
17,"Riddle, City of",Riddle,"Population served: 1,300",97462
18,Roberts Creek Water District,Roseburg,"Population served: 6,500",97462
19,South Umpqua Water Association,Riddle,Population served: 575,97462
20,"Sutherlin, City of",Sutherlin,"Population served: 8,060",97462
21,Tri-city Jw&sa,Myrtle Creek,"Population served: 3,500",97462
22,U.S. Forest Service Toketee Ranger Station,Roseburg,Population served: 150,97462
23,U.S. Forest Service Wolf Creek Job Corps,Roseburg,Population served: 291,97462
24,Umpqua Basin Water Association,Roseburg,"Population served: 8,900",97462
25,Umpqua Ranch Co-op,Idleyld,Population served: 161,97462
26,Union Gap Water District,Oakland,Population served: 150,97462
27,,,Population served: 0,97462
28,Winston-dillard Water District,Winston,"Population served: 8,060",97462
29,"Yoncalla, City of",Yoncalla,"Population served: 1,095",97462
0,Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97463
1,Springfield Utility Board,"Springfield, OR","Population served:59,500",97463
2,"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97463
3,"Florence, City of","Florence, OR","Population served:8,850",97463
4,Rainbow Water District,"Springfield, OR","Population served:6,300",97463
5,Junction City Water Utilities,"Junction City, OR","Population served:3,011",97463
6,"Creswell, City of","Creswell, OR","Population served:5,075",97463
7,"Veneta, City of","Veneta, OR","Population served:4,755",97463
8,Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97463
9,"Oakridge, City of","Oakridge, OR","Population served:3,225",97463
0,"Tillamook Water Department, City of","Tillamook, OR","Population served:4,885",97134
1,Manzanita Water Department,"Manzanita, OR","Population served:3,200",97134
2,Rockaway Beach Water District,"Rockaway Beach, OR","Population served:2,600",97134
3,Netarts Water District,"Netarts, OR","Population served:1,800",97134
4,"Nehalem, City of","Nehalem, OR","Population served:1,700",97134
0,Aldridge Ditch Company Ws,Hood River,Population served: 49,97044
1,"Cascade Locks, City of",Cascade Locks,"Population served: 1,310",97044
2,Crystal Springs Water District,Odell,"Population served: 5,600",97044
3,"Hood River, City of",Hood River,"Population served: 7,995",97044
4,Ice Fountain Water District,Hood River,"Population served: 5,532",97044
5,Odell Water Company,Odell,Population served: 373,97044
6,Parkdale Water Company Inc.,Parkdale,Population served: 867,97044
0,"Adrian, City of",Adrian,Population served: 180,97914
1,City of Ontario,Ontario,"Population served: 14,465",97914
2,Fischers Place Mobile Home Park,Scappoose,Population served: 125,97914
3,"Jordan Valley, City of",Jordan Valley,Population served: 175,97914
4,"Nyssa, City of",Nyssa,"Population served: 3,285",97914
5,River Village Mobile Home Park,Ontario,Population served: 40,97914
6,"Vale, City of",Vale,"Population served: 1,950",97914
0,"Brookings, City of",Brookings,"Population served: 6,336",97464
1,"Gold Beach, City of",Gold Beach,"Population served: 3,000",97464
2,Harbor Water People's Utility District,Harbor,"Population served: 3,190",97464
3,Langlois Water District,Langlois,Population served: 220,97464
4,Nesika Beach-ophir Water District,Gold Beach,"Population served: 1,500",97464
5,Old Sheep Ranch Water Association,Langlois,Population served: 56,97464
6,,,Population served: 0,97464
7,"Port Orford, City of",Port Orford,"Population served: 1,140",97464
8,Rainbow Rock Service Association,Brookings,Population served: 80,97464
9,Rainbow Rock Village Mobile Home Park,Brookings,Population served: 115,97464
10,Saunders Creek Hoc,Gold Beach,Population served: 75,97464
0,North Clackamas County Water Commission,"Oregon City, OR","Population served:87,700",97045
1,South Fork Water Board,"Oregon City, OR","Population served:65,000",97045
2,Sunrise Water Authority,"Happy Valley, OR","Population served:46,228",97045
3,Clackamas River Water - Clackamas,"Clackamas, OR","Population served:41,338",97045
4,Lake Oswego Municipal Water,"Lake Oswego, OR","Population served:36,453",97045
5,Oregon City,"Oregon City, OR","Population served:33,940",97045
6,Oak Lodge Water District,"Milwaukie, OR","Population served:30,000",97045
7,City of West Linn,"West Linn, OR","Population served:25,002",97045
8,City of Milwaukie,"Milwaukie, OR","Population served:20,500",97045
9,City of Wilsonville,"Wilsonville, OR","Population served:22,729",97045
0,Lincoln City Water District,"Lincoln City, OR","Population served:20,830",97368
1,City of Newport,"Newport, OR","Population served:10,160",97368
2,Seal Rock Water District,"Seal Rock, OR","Population served:5,500",97368
3,"Tillamook Water Department, City of","Tillamook, OR","Population served:4,885",97368
4,Kernville-gleneden-linc Bch Water District,"Gleneden Beach, OR","Population served:5,598",97368
5,Toledo Water Utilities,"Toledo, OR","Population served:3,645",97368
6,Manzanita Water Department,"Manzanita, OR","Population served:3,200",97368
7,Sw Lincoln County Water District,"Waldport, OR","Population served:3,000",97368
8,Rockaway Beach Water District,"Rockaway Beach, OR","Population served:2,600",97368
9,"Waldport, City of","Waldport, OR","Population served:2,080",97368
0,Bay Hills Water Association,Newport,Population served: 45,97369
1,Beverly Beach Water District,Newport,Population served: 152,97369
2,Carmel Beach Water District,Newport,Population served: 36,97369
3,City of Newport,Newport,"Population served: 10,160",97369
4,"Depoe Bay, City of",Depoe Bay,"Population served: 1,398",97369
5,Fall Creek Water District,Alsea,Population served: 50,97369
6,Guptil Subdivision,Otis,Population served: 28,97369
7,Hiland Water Company - Bear Creek,Newberg,Population served: 275,97369
8,Hiland Water Company - Boulder Creek,Newberg,Population served: 350,97369
9,Hiland Water Company - Echo Mountain Park,Newberg,Population served: 362,97369
10,Hiland Water Company - Riverbend Park Water System,Newberg,Population served: 172,97369
11,Hiland Water Company - Westwood,Newberg,Population served: 120,97369
12,Inn At Otter Crest,Otter Rock,Population served: 90,97369
13,Johnson Creek Water Service,Newberg,Population served: 363,97369
14,Kernville-gleneden-linc Bch Water District,Gleneden Beach,"Population served: 5,598",97369
15,Kozy Acres Water System,Waldport,Population served: 40,97369
16,Lincoln City Water District,Lincoln City,"Population served: 20,830",97369
17,Lower Siletz Water System,Lincoln City,Population served: 165,97369
18,Otter Rock Water District,Otter Rock,Population served: 175,97369
19,Panther Creek Water District,Otis,Population served: 760,97369
20,Riverside Mobile Park,Seal Rock,Population served: 32,97369
21,Salmon River Mobile Village,Otis,Population served: 75,97369
22,Salmon River Rv Park,Otis,Population served: 69,97369
23,Sea Crest,Newberg,Population served: 72,97369
24,Seal Rock Water District,Seal Rock,"Population served: 5,500",97369
25,"Siletz, City of",Siletz,"Population served: 1,200",97369
26,Sw Lincoln County Water District,Waldport,"Population served: 3,000",97369
27,Toledo Water Utilities,Toledo,"Population served: 3,645",97369
28,"Waldport, City of",Waldport,"Population served: 2,080",97369
29,"Yachats, City of",Yachats,"Population served: 1,000",97369
0,Baker City,Baker City,"Population served: 9,890",97840
1,"Haines, City of",Haines,Population served: 415,97840
2,"Halfway, City of",Halfway,Population served: 290,97840
3,"Huntington, City of",Huntington,Population served: 445,97840
4,Idaho Power-oxbow Village,Oxbow,Population served: 75,97840
5,"Richland, City of",Richland,Population served: 245,97840
6,"Sumpter, City of",Sumpter,Population served: 205,97840
7,"Unity, City of",Unity,Population served: 71,97840
8,Western Heights Water Company,Baker City,Population served: 70,97840
0,"Tillamook Water Department, City of","Tillamook, OR","Population served:4,885",97135
1,Manzanita Water Department,"Manzanita, OR","Population served:3,200",97135
2,Rockaway Beach Water District,"Rockaway Beach, OR","Population served:2,600",97135
3,Netarts Water District,"Netarts, OR","Population served:1,800",97135
4,"Nehalem, City of","Nehalem, OR","Population served:1,700",97135
0,Christmas Valley Domestic Ws,Christmas Valley,Population served: 860,97636
1,"Lakeview, City of",Lakeview,"Population served: 2,300",97636
2,"Paisley, City of",Paisley,Population served: 245,97636
3,Westwind Mobile Home Park,Lake Oswego,Population served: 104,97636
0,City of Pendleton,"Pendleton, OR","Population served:17,310",97801
1,City of Hermiston,"Hermiston, OR","Population served:18,200",97801
2,"Milton-freewater, City Of","Milton-freewater, OR","Population served:7,070",97801
3,"Umatilla, City of","Umatilla, OR","Population served:6,980",97801
4,"Stanfield, City of","Stanfield, OR","Population served:2,115",97801
0,Adair Village Water System,Adair,Population served: 875,97370
1,Alsea County Service District,Corvallis,Population served: 202,97370
2,Buell-red Prairie Water District,Sheridan,Population served: 788,97370
3,Cascade View Estates,Corvallis,Population served: 113,97370
4,City of Corvallis,Corvallis,"Population served: 56,000",97370
5,City of Dallas,Dallas,"Population served: 14,700",97370
6,Dumbeck Lane Domestic Water Supply District,Albany,Population served: 250,97370
7,"Falls City, City of",Falls City,"Population served: 1,000",97370
8,Fir View Water Company,Albany,Population served: 163,97370
9,Grand Ronde Community Water Association,Grand Ronde,"Population served: 2,500",97370
10,Independence Water System,Independence,"Population served: 8,600",97370
11,Jackson Creek Water Association,Corvallis,Population served: 41,97370
12,Knoll Terrace Park,Corvallis,Population served: 452,97370
13,Luckiamute Domestic Water Co-op,Monmouth,"Population served: 2,738",97370
14,"Monmouth, City of",Monmouth,"Population served: 9,855",97370
15,"Monroe, City of",Monroe,Population served: 615,97370
16,North Corvallis Mobile Home Park-well #1,Corvallis,Population served: 100,97370
17,Orchard Heights Water Association,Lyons,Population served: 500,97370
18,Perrydale Domestic Water Association,Amity,"Population served: 2,195",97370
19,Philomath Public Works,Philomath,"Population served: 4,670",97370
20,Pioneer Park Co-op Inc.,Salem,Population served: 54,97370
21,Pioneer Village Water Company,Philomath,Population served: 80,97370
22,Raintree Estates,Corvallis,Population served: 50,97370
23,Rickreall Water Association,Rickreall,"Population served: 1,650",97370
24,Ridgewood District Improvement Company,Corvallis,Population served: 110,97370
25,Rock Creek Water District,Grand Ronde,Population served: 235,97370
26,Vineyard Mountain Water,Corvallis,Population served: 325,97370
0,Medford Water Commission,"Medford, OR","Population served:91,000",97535
1,Ashland Water Department,"Ashland, OR","Population served:20,700",97535
2,City of Central Point,"Central Point, OR","Population served:17,025",97535
3,"Eagle Point, City of","Eagle Point, OR","Population served:9,697",97535
4,"Talent, City of","Talent, OR","Population served:6,850",97535
5,"Phoenix, City of","Phoenix, OR","Population served:4,603",97535
6,"Jacksonville, City of","Jacksonville, OR","Population served:2,850",97535
7,"Rogue River, City of","Rogue River, OR","Population served:2,250",97535
8,"Gold Hill, City of","Gold Hill, OR","Population served:1,115",97535
9,Hiland Water Company - Shady Cove,"Newberg, OR","Population served:1,000",97535
0,City of Pendleton,"Pendleton, OR","Population served:17,310",97868
1,City of Hermiston,"Hermiston, OR","Population served:18,200",97868
2,"Milton-freewater, City Of","Milton-freewater, OR","Population served:7,070",97868
3,"Umatilla, City of","Umatilla, OR","Population served:6,980",97868
4,"Stanfield, City of","Stanfield, OR","Population served:2,115",97868
0,Eugene Water & Electric Board,"Eugene, OR","Population served:168,000",97455
1,Springfield Utility Board,"Springfield, OR","Population served:59,500",97455
2,"Cottage Grove, City of","Cottage Grove, OR","Population served:10,005",97455
3,"Florence, City of","Florence, OR","Population served:8,850",97455
4,Rainbow Water District,"Springfield, OR","Population served:6,300",97455
5,Junction City Water Utilities,"Junction City, OR","Population served:3,011",97455
6,"Creswell, City of","Creswell, OR","Population served:5,075",97455
7,"Veneta, City of","Veneta, OR","Population served:4,755",97455
8,Heceta Water Peoples Utility District,"Florence, OR","Population served:4,921",97455
9,"Oakridge, City of","Oakridge, OR","Population served:3,225",97455
0,Christmas Valley Domestic Ws,Christmas Valley,Population served: 860,97637
1,"Lakeview, City of",Lakeview,"Population served: 2,300",97637
2,"Paisley, City of",Paisley,Population served: 245,97637
3,Westwind Mobile Home Park,Lake Oswego,Population served: 104,97637
0,"Brookings, City of",Brookings,"Population served: 6,336",97465
1,"Gold Beach, City of",Gold Beach,"Population served: 3,000",97465
2,Harbor Water People's Utility District,Harbor,"Population served: 3,190",97465
3,Langlois Water District,Langlois,Population served: 220,97465
4,Nesika Beach-ophir Water District,Gold Beach,"Population served: 1,500",97465
5,Old Sheep Ranch Water Association,Langlois,Population served: 56,97465
6,,,Population served: 0,97465
7,"Port Orford, City of",Port Orford,"Population served: 1,140",97465
8,Rainbow Rock Service Association,Brookings,Population served: 80,97465
9,Rainbow Rock Village Mobile Home Park,Brookings,Population served: 115,97465
10,Saunders Creek Hoc,Gold Beach,Population served: 75,97465
0,Portland Water Bureau,"Portland, OR","Population served:614,059",97222
1,North Clackamas County Water Commission,"Oregon City, OR","Population served:87,700",97222
2,South Fork Water Board,"Oregon City, OR","Population served:65,000",97222
3,Cty of Gresham,"Gresham, OR","Population served:73,932",97222
4,Rockwood People's Utilities Department,"Portland, OR","Population served:61,082",97222
5,Sunrise Water Authority,"Happy Valley, OR","Population served:46,228",97222
6,Clackamas River Water - Clackamas,"Clackamas, OR","Population served:41,338",97222
7,Lake Oswego Municipal Water,"Lake Oswego, OR","Population served:36,453",97222
8,Oregon City,"Oregon City, OR","Population served:33,940",97222
9,Oak Lodge Water District,"Milwaukie, OR","Population served:30,000",97222
0,North Clackamas County Water Commission,"Oregon City, OR","Population served:87,700",97267
1,South Fork Water Board,"Oregon City, OR","Population served:65,000",97267
2,Sunrise Water Authority,"Happy Valley, OR","Population served:46,228",97267
3,Clackamas River Water - Clackamas,"Clackamas, OR","Population served:41,338",97267
4,Lake Oswego Municipal Water,"Lake Oswego, OR","Population served:36,453",97267
5,Oregon City,"Oregon City, OR","Population served:33,940",97267
6,Oak Lodge Water District,"Milwaukie, OR","Population served:30,000",97267
7,City of West Linn,"West Linn, OR","Population served:25,002",97267
8,City of Milwaukie,"Milwaukie, OR","Population served:20,500",97267
9,City of Wilsonville,"Wilsonville, OR","Population served:22,729",97267
0,North Clackamas County Water Commission,"Oregon City, OR","Population served:87,700",97268
1,South Fork Water Board,"Oregon City, OR","Population served:65,000",97268
2,Sunrise Water Authority,"Happy Valley, OR","Population served:46,228",97268
3,Clackamas River Water - Clackamas,"Clackamas, OR","Population served:41,338",97268
4,Lake Oswego Municipal Water,"Lake Oswego, OR","Population served:36,453",97268
5,Oregon City,"Oregon City, OR","Population served:33,940",97268
6,Oak Lodge Water District,"Milwaukie, OR","Population served:30,000",97268
7,City of West Linn,"West Linn, OR","Population served:25,002",97268
8,City of Milwaukie,"Milwaukie, OR","Population served:20,500",97268
9,City of Wilsonville,"Wilsonville, OR","Population served:22,729",97268
0,North Clackamas County Water Commission,"Oregon City, OR","Population served:87,700",97269
1,South Fork Water Board,"Oregon City, OR","Population served:65,000",97269
2,Sunrise Water Authority,"Happy Valley, OR","Population served:46,228",97269
3,Clackamas River Water - Clackamas,"Clackamas, OR","Population served:41,338",97269
4,Lake Oswego Municipal Water,"Lake Oswego, OR","Population served:36,453",97269
5,Oregon City,"Oregon City, OR","Population served:33,940",97269
6,Oak Lodge Water District,"Milwaukie, OR","Population served:30,000",97269
7,City of West Linn,"West Linn, OR","Population served:25,002",97269
8,City of Milwaukie,"Milwaukie, OR","Population served:20,500",97269
9,City of Wilsonville,"Wilsonville, OR","Population served:22,729",97269
0,Burlington Water District,Newberg,Population served: 340,97201
1,Wapato Moorage Association,Portland,Population served: 74,97201
2,Manna House Church,Portland,Population served: 300,97201
3,City of Troutdale,Troutdale,"Population served: 16,020",97201
4,Corbett Water District,Corbett,"Population served: 3,300",97201
5,Cty of Gresham,Gresham,"Population served: 73,932",97201
6,"Fairview, City of",Fairview,"Population served: 9,176",97201
7,Interlachen Water People's Utility District,Fairview,Population served: 360,97201
8,Lorna Portland Water LLC,Newberg,Population served: 200,97201
9,Lusted Water District,Gresham,"Population served: 1,200",97201
10,Mayfair Moorage Inc.,Portland,Population served: 28,97201
11,Palatine Hill Water District,Portland,"Population served: 1,500",97201
12,Sigler Cove Marina,Scappoose,Population served: 150,97201
13,Pleasant Home Water District,Gresham,"Population served: 1,510",97201
14,Portland Water Bureau,Portland,"Population served: 614,059",97201
15,Rockwood People's Utilities Department,Portland,"Population served: 61,082",97201
16,Rocky Pointe Marina,Portland,Population served: 125,97201
17,Sandy Boulevard Mobile Villa,Fairview,Population served: 225,97201
18,Sauvie Island Moorage,Portland,Population served: 96,97201
19,Terrand Mobile Terrace,Silverton,Population served: 71,97201
20,Valley View Water District,Newberg,"Population served: 1,034",97201
21,"Wood Village, City of",Wood Village,"Population served: 3,907",97201
0,Portland Water Bureau,"Portland, OR","Population served:614,059",97202
1,North Clackamas County Water Commission,"Oregon City, OR","Population served:87,700",97202
2,South Fork Water Board,"Oregon City, OR","Population served:65,000",97202
3,Cty of Gresham,"Gresham, OR","Population served:73,932",97202
4,Rockwood People's Utilities Department,"Portland, OR","Population served:61,082",97202
5,Sunrise Water Authority,"Happy Valley, OR","Population served:46,228",97202
6,Clackamas River Water - Clackamas,"Clackamas, OR","Population served:41,338",97202
7,Lake Oswego Municipal Water,"Lake Oswego, OR","Population served:36,453",97202
8,Oregon City,"Oregon City, OR","Population served:33,940",97202
9,Oak Lodge Water District,"Milwaukie, OR","Population served:30,000",97202
0,Burlington Water District,Newberg,Population served: 340,97203
1,Wapato Moorage Association,Portland,Population served: 74,97203
2,Manna House Church,Portland,Population served: 300,97203
3,City of Troutdale,Troutdale,"Population served: 16,020",97203
4,Corbett Water District,Corbett,"Population served: 3,300",97203
5,Cty of Gresham,Gresham,"Population served: 73,932",97203
6,"Fairview, City of",Fairview,"Population served: 9,176",97203
7,Interlachen Water People's Utility District,Fairview,Population served: 360,97203
8,Lorna Portland Water LLC,Newberg,Population served: 200,97203
9,Lusted Water District,Gresham,"Population served: 1,200",97203
10,Mayfair Moorage Inc.,Portland,Population served: 28,97203
11,Palatine Hill Water District,Portland,"Population served: 1,500",97203
12,Sigler Cove Marina,Scappoose,Population served: 150,97203
13,Pleasant Home Water District,Gresham,"Population served: 1,510",97203
14,Portland Water Bureau,Portland,"Population served: 614,059",97203
15,Rockwood People's Utilities Department,Portland,"Population served: 61,082",97203
16,Rocky Pointe Marina,Portland,Population served: 125,97203
17,Sandy Boulevard Mobile Villa,Fairview,Population served: 225,97203
18,Sauvie Island Moorage,Portland,Population served: 96,97203
19,Terrand Mobile Terrace,Silverton,Population served: 71,97203
20,Valley View Water District,Newberg,"Population served: 1,034",97203
21,"Wood Village, City of",Wood Village,"Population served: 3,907",97203
0,Burlington Water District,Newberg,Population served: 340,97204
1,Wapato Moorage Association,Portland,Population served: 74,97204
2,Manna House Church,Portland,Population served: 300,97204
3,City of Troutdale,Troutdale,"Population served: 16,020",97204
4,Corbett Water District,Corbett,"Population served: 3,300",97204
5,Cty of Gresham,Gresham,"Population served: 73,932",97204
6,"Fairview, City of",Fairview,"Population served: 9,176",97204
7,Interlachen Water People's Utility District,Fairview,Population served: 360,97204
8,Lorna Portland Water LLC,Newberg,Population served: 200,97204
9,Lusted Water District,Gresham,"Population served: 1,200",97204
10,Mayfair Moorage Inc.,Portland,Population served: 28,97204
11,Palatine Hill Water District,Portland,"Population served: 1,500",97204
12,Sigler Cove Marina,Scappoose,Population served: 150,97204
13,Pleasant Home Water District,Gresham,"Population served: 1,510",97204
14,Portland Water Bureau,Portland,"Population served: 614,059",97204
15,Rockwood People's Utilities Department,Portland,"Population served: 61,082",97204
16,Rocky Pointe Marina,Portland,Population served: 125,97204
17,Sandy Boulevard Mobile Villa,Fairview,Population served: 225,97204
18,Sauvie Island Moorage,Portland,Population served: 96,97204
19,Terrand Mobile Terrace,Silverton,Population served: 71,97204
20,Valley View Water District,Newberg,"Population served: 1,034",97204
21,"Wood Village, City of",Wood Village,"Population served: 3,907",97204
0,Burlington Water District,Newberg,Population served: 340,97205
1,Wapato Moorage Association,Portland,Population served: 74,97205
2,Manna House Church,Portland,Population served: 300,97205
3,City of Troutdale,Troutdale,"Population served: 16,020",97205
4,Corbett Water District,Corbett,"Population served: 3,300",97205
5,Cty of Gresham,Gresham,"Population served: 73,932",97205
6,"Fairview, City of",Fairview,"Population served: 9,176",97205
7,Interlachen Water People's Utility District,Fairview,Population served: 360,97205
8,Lorna Portland Water LLC,Newberg,Population served: 200,97205
9,Lusted Water District,Gresham,"Population served: 1,200",97205
10,Mayfair Moorage Inc.,Portland,Population served: 28,97205
11,Palatine Hill Water District,Portland,"Population served: 1,500",97205
12,Sigler Cove Marina,Scappoose,Population served: 150,97205
13,Pleasant Home Water District,Gresham,"Population served: 1,510",97205
14,Portland Water Bureau,Portland,"Population served: 614,059",97205
15,Rockwood People's Utilities Department,Portland,"Population served: 61,082",97205
16,Rocky Pointe Marina,Portland,Population served: 125,97205
17,Sandy Boulevard Mobile Villa,Fairview,Population served: 225,97205
18,Sauvie Island Moorage,Portland,Population served: 96,97205
19,Terrand Mobile Terrace,Silverton,Population served: 71,97205
20,Valley View Water District,Newberg,"Population served: 1,034",97205
21,"Wood Village, City of",Wood Village,"Population served: 3,907",97205
0,Portland Water Bureau,"Portland, OR","Population served:614,059",97206
1,North Clackamas County Water Commission,"Oregon City, OR","Population served:87,700",97206
2,South Fork Water Board,"Oregon City, OR","Population served:65,000",97206
3,Cty of Gresham,"Gresham, OR","Population served:73,932",97206
4,Rockwood People's Utilities Department,"Portland, OR","Population served:61,082",97206
5,Sunrise Water Authority,"Happy Valley, OR","Population served:46,228",97206
6,Clackamas River Water - Clackamas,"Clackamas, OR","Population served:41,338",97206
7,Lake Oswego Municipal Water,"Lake Oswego, OR","Population served:36,453",97206
8,Oregon City,"Oregon City, OR","Population served:33,940",97206
9,Oak Lodge Water District,"Milwaukie, OR","Population served:30,000",97206
0,Burlington Water District,Newberg,Population served: 340,97207
1,Wapato Moorage Association,Portland,Population served: 74,97207
2,Manna House Church,Portland,Population served: 300,97207
3,City of Troutdale,Troutdale,"Population served: 16,020",97207
4,Corbett Water District,Corbett,"Population served: 3,300",97207
5,Cty of Gresham,Gresham,"Population served: 73,932",97207
6,"Fairview, City of",Fairview,"Population served: 9,176",97207
7,Interlachen Water People's Utility District,Fairview,Population served: 360,97207
8,Lorna Portland Water LLC,Newberg,Population served: 200,97207
9,Lusted Water District,Gresham,"Population served: 1,200",97207
10,Mayfair Moorage Inc.,Portland,Population served: 28,97207
11,Palatine Hill Water District,Portland,"Population served: 1,500",97207
12,Sigler Cove Marina,Scappoose,Population served: 150,97207
13,Pleasant Home Water District,Gresham,"Population served: 1,510",97207
14,Portland Water Bureau,Portland,"Population served: 614,059",97207
15,Rockwood People's Utilities Department,Portland,"Population served: 61,082",97207
16,Rocky Pointe Marina,Portland,Population served: 125,97207
17,Sandy Boulevard Mobile Villa,Fairview,Population served: 225,97207
18,Sauvie Island Moorage,Portland,Population served: 96,97207
19,Terrand Mobile Terrace,Silverton,Population served: 71,97207
20,Valley View Water District,Newberg,"Population served: 1,034",97207
21,"Wood Village, City of",Wood Village,"Population served: 3,907",97207
0,Burlington Water District,Newberg,Population served: 340,97208
1,Wapato Moorage Association,Portland,Population served: 74,97208
2,Manna House Church,Portland,Population served: 300,97208
3,City of Troutdale,Troutdale,"Population served: 16,020",97208
4,Corbett Water District,Corbett,"Population served: 3,300",97208
5,Cty of Gresham,Gresham,"Population served: 73,932",97208
6,"Fairview, City of",Fairview,"Population served: 9,176",97208
7,Interlachen Water People's Utility District,Fairview,Population served: 360,97208
8,Lorna Portland Water LLC,Newberg,Population served: 200,97208
9,Lusted Water District,Gresham,"Population served: 1,200",97208
10,Mayfair Moorage Inc.,Portland,Population served: 28,97208
11,Palatine Hill Water District,Portland,"Population served: 1,500",97208
12,Sigler Cove Marina,Scappoose,Population served: 150,97208
13,Pleasant Home Water District,Gresham,"Population served: 1,510",97208
14,Portland Water Bureau,Portland,"Population served: 614,059",97208
15,Rockwood People's Utilities Department,Portland,"Population served: 61,082",97208
16,Rocky Pointe Marina,Portland,Population served: 125,97208
17,Sandy Boulevard Mobile Villa,Fairview,Population served: 225,97208
